Keyword,Currency,Avg. monthly searches,Cambio en los últimos tres meses,Cambio interanual,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Dec 2022,Searches: Jan 2023,Searches: Feb 2023,Searches: Mar 2023,Searches: Apr 2023,Searches: May 2023,Searches: Jun 2023,Searches: Jul 2023,Searches: Aug 2023,Searches: Sep 2023,Searches: Oct 2023,Searches: Nov 2023
cena rapida,COP,5000,0%,0%,Bajo,5,155.11,271.45,,,,,,,,,,,,,,,,,
pan para sandwich,COP,5000,0%,900%,Bajo,24,234.92,615.40,,,,,,,,,,,,,,,,,
nutrecan cachorros,COP,5000,0%,0%,Alto,83,374.25,4113.33,,,,,,,,,,,,,,,,,
perros mini toy,COP,5000,0%,0%,Bajo,2,214.13,389.30,,,,,,,,,,,,,,,,,
perros peludos,COP,5000,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perro siberiano,COP,5000,0%,0%,Bajo,0,170.62,398.43,,,,,,,,,,,,,,,,,
perro bulldog frances,COP,5000,0%,0%,Bajo,3,246.66,811.92,,,,,,,,,,,,,,,,,
pan de carne,COP,50,0%,-90%,Bajo,0,,,,,,,,,,,,,,,,,,,
cachorros pomerania,COP,500,0%,0%,Bajo,14,212.43,386.89,,,,,,,,,,,,,,,,,
mi perro vomita amarillo,COP,5000,900%,0%,Bajo,1,79.76,261.02,,,,,,,,,,,,,,,,,
tortas fritas,COP,500,0%,0%,Bajo,4,,,,,,,,,,,,,,,,,,,
hamburguesa de carne,COP,5000,0%,0%,Medio,47,247.83,2619.36,,,,,,,,,,,,,,,,,
casas para perros de madera,COP,500,0%,0%,Alto,68,116.34,714.08,,,,,,,,,,,,,,,,,
salsa de tomate para pizza,COP,500,0%,0%,Bajo,13,,,,,,,,,,,,,,,,,,,
para perros,COP,500,0%,0%,Bajo,22,349.01,1333.57,,,,,,,,,,,,,,,,,
chiguagua toy,COP,500,0%,0%,Bajo,2,181.41,717.85,,,,,,,,,,,,,,,,,
comida cubana,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
comida libanesa,COP,500,-90%,0%,Bajo,1,387.79,1473.59,,,,,,,,,,,,,,,,,
boyero de berna precio,COP,500,0%,0%,Bajo,21,179.36,325.74,,,,,,,,,,,,,,,,,
akita americano precio,COP,5000,0%,0%,Bajo,8,165.12,967.84,,,,,,,,,,,,,,,,,
comida portuguesa,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
bulldog frances blue,COP,5000,0%,0%,Bajo,2,134.95,588.38,,,,,,,,,,,,,,,,,
asuntol jabon,COP,5000,0%,0%,Medio,55,271.45,2724.00,,,,,,,,,,,,,,,,,
poodle toy precio,COP,50,0%,0%,Bajo,24,215.24,383.77,,,,,,,,,,,,,,,,,
masa para empanadas fritas,COP,500,0%,0%,Bajo,1,,,,,,,,,,,,,,,,,,,
bull terrier precio,COP,5000,-90%,0%,Bajo,6,213.66,372.73,,,,,,,,,,,,,,,,,
mi perro vomita,COP,500,0%,0%,Bajo,2,57.60,147.71,,,,,,,,,,,,,,,,,
perro border collie,COP,5000,0%,0%,Bajo,2,210.68,706.73,,,,,,,,,,,,,,,,,
los perros,COP,5000,0%,0%,Bajo,2,620.46,1667.48,,,,,,,,,,,,,,,,,
empanadas arabes,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
comida ecuatoriana,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
rottweiler cachorro,COP,5000,0%,0%,Bajo,2,191.35,446.32,,,,,,,,,,,,,,,,,
border collie cachorro,COP,5000,0%,0%,Bajo,3,208.71,533.34,,,,,,,,,,,,,,,,,
pitbull blue,COP,5000,0%,0%,Bajo,0,224.80,667.77,,,,,,,,,,,,,,,,,
schnauzer precio,COP,500,0%,0%,Bajo,15,216.00,409.86,,,,,,,,,,,,,,,,,
pomerania mini toy,COP,500,0%,0%,Bajo,10,173.39,390.12,,,,,,,,,,,,,,,,,
cachorros golden,COP,500,0%,0%,Bajo,17,226.49,563.43,,,,,,,,,,,,,,,,,
perro de agua,COP,5000,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
menú semanal para hígado graso,COP,500,0%,-90%,Bajo,1,,,,,,,,,,,,,,,,,,,
precio de bulldog francés,COP,500,0%,0%,Bajo,25,137.40,413.83,,,,,,,,,,,,,,,,,
pug perro,COP,50000,0%,0%,Bajo,2,215.24,1373.84,,,,,,,,,,,,,,,,,
beagle cachorro,COP,5000,-90%,-90%,Bajo,2,202.65,435.84,,,,,,,,,,,,,,,,,
perros bonitos,COP,5000,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
masa pizza casera,COP,50,0%,0%,Bajo,4,155.11,193.89,,,,,,,,,,,,,,,,,
perros poodle,COP,5000,0%,0%,Bajo,1,205.55,465.06,,,,,,,,,,,,,,,,,
locos por el asado,COP,500,0%,0%,Bajo,1,,,,,,,,,,,,,,,,,,,
pizza integral,COP,50,0%,0%,Bajo,5,,,,,,,,,,,,,,,,,,,
perro husky precio,COP,500,0%,0%,Bajo,6,144.02,328.77,,,,,,,,,,,,,,,,,
perro callejero,COP,5000,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perro pastor aleman,COP,5000,0%,0%,Bajo,1,212.51,446.84,,,,,,,,,,,,,,,,,
perro pug precio,COP,5000,0%,0%,Bajo,6,192.54,446.83,,,,,,,,,,,,,,,,,
boxer perro,COP,50000,-90%,-90%,Bajo,0,197.06,616.06,,,,,,,,,,,,,,,,,
bichon maltes precio,COP,500,0%,-90%,Bajo,19,192.04,447.77,,,,,,,,,,,,,,,,,
lobo siberiano precio,COP,5000,0%,0%,Bajo,10,142.19,364.17,,,,,,,,,,,,,,,,,
mi perro no quiere comer y está decaído,COP,500,0%,-90%,Bajo,2,124.32,659.24,,,,,,,,,,,,,,,,,
comida halloween,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perro akita,COP,5000,0%,0%,Bajo,1,445.17,1546.79,,,,,,,,,,,,,,,,,
perro golden retriever,COP,5000,0%,0%,Bajo,3,200.16,693.09,,,,,,,,,,,,,,,,,
pomerania toy precio,COP,500,0%,0%,Bajo,12,174.93,357.94,,,,,,,,,,,,,,,,,
cachorros chihuahua,COP,500,0%,-90%,Bajo,14,208.32,473.75,,,,,,,,,,,,,,,,,
masa empanadas fritas,COP,50,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perrarina,COP,500,0%,0%,Medio,36,,,,,,,,,,,,,,,,,,,
chihuahua pelo largo,COP,5000,0%,0%,Bajo,2,129.65,317.29,,,,,,,,,,,,,,,,,
comida brasileña,COP,500,0%,0%,Bajo,13,203.75,3199.49,,,,,,,,,,,,,,,,,
asuntol para perros,COP,500,0%,0%,Medio,53,426.57,1977.71,,,,,,,,,,,,,,,,,
perros mini,COP,5000,900%,900%,Bajo,3,204.56,402.71,,,,,,,,,,,,,,,,,
comida francesa,COP,5000,0%,0%,Bajo,1,56.80,94.52,,,,,,,,,,,,,,,,,
comida griega,COP,5000,0%,900%,Bajo,1,42.42,84.84,,,,,,,,,,,,,,,,,
pizza por metro,COP,500,0%,0%,Bajo,2,370.57,2184.53,,,,,,,,,,,,,,,,,
boxer blanco,COP,500,0%,0%,Medio,48,372.82,1903.85,,,,,,,,,,,,,,,,,
comida dominicana,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
labrador cachorro,COP,5000,0%,0%,Bajo,1,240.93,586.14,,,,,,,,,,,,,,,,,
paella española,COP,5000,-90%,-90%,Bajo,5,284.44,875.07,,,,,,,,,,,,,,,,,
pizza a la parrilla,COP,50,0%,0%,Bajo,1,,,,,,,,,,,,,,,,,,,
perros raza mediana,COP,500,0%,0%,Bajo,2,215.35,930.67,,,,,,,,,,,,,,,,,
bulldog americano,COP,5000,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
raza yorkie,COP,5000,0%,0%,Bajo,1,258.14,516.28,,,,,,,,,,,,,,,,,
un perro,COP,5000,0%,0%,Bajo,1,,,,,,,,,,,,,,,,,,,
perro collie,COP,5000,0%,0%,Bajo,1,,,,,,,,,,,,,,,,,,,
cachorros rottweiler,COP,500,0%,0%,Bajo,15,169.24,422.01,,,,,,,,,,,,,,,,,
cachorros yorkshire,COP,50,0%,0%,Bajo,15,228.39,516.24,,,,,,,,,,,,,,,,,
perros chicos,COP,50,0%,0%,Bajo,2,199.88,506.95,,,,,,,,,,,,,,,,,
pastor australiano miniatura,COP,500,0%,0%,Bajo,1,192.79,337.39,,,,,,,,,,,,,,,,,
labrador golden,COP,5000,0%,0%,Bajo,2,273.82,901.47,,,,,,,,,,,,,,,,,
comida rica,COP,5000,0%,0%,Bajo,3,155.11,888.34,,,,,,,,,,,,,,,,,
beagle perro,COP,5000,0%,0%,Bajo,1,203.73,384.39,,,,,,,,,,,,,,,,,
pastor suizo,COP,5000,900%,900%,Bajo,0,,,,,,,,,,,,,,,,,,,
comidas tipicas chilenas,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
comidas chilenas,COP,500,-90%,-90%,Bajo,0,,,,,,,,,,,,,,,,,,,
perros grandes razas,COP,5000,0%,0%,Bajo,0,203.03,936.17,,,,,,,,,,,,,,,,,
perros salchichas mini,COP,5000,0%,0%,Bajo,15,183.39,556.48,,,,,,,,,,,,,,,,,
comida oriental,COP,5000,0%,0%,Bajo,1,426.57,2094.05,,,,,,,,,,,,,,,,,
tacos de carne,COP,500,0%,0%,Bajo,2,,,,,,,,,,,,,,,,,,,
raza shih tzu,COP,5000,0%,0%,Bajo,1,217.07,1340.29,,,,,,,,,,,,,,,,,
perro gran danes,COP,5000,0%,0%,Bajo,0,206.84,511.56,,,,,,,,,,,,,,,,,
perro bull terrier,COP,5000,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
comidas frias,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perros cocker,COP,50000,0%,0%,Bajo,1,209.66,500.30,,,,,,,,,,,,,,,,,
masa para tacos,COP,50,0%,0%,Medio,41,,,,,,,,,,,,,,,,,,,
platos peruanos,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
raza pomerania,COP,5000,0%,0%,Bajo,1,229.58,353.77,,,,,,,,,,,,,,,,,
carne para tacos,COP,500,0%,900%,Bajo,21,,,,,,,,,,,,,,,,,,,
pomerania blanco,COP,5000,0%,0%,Bajo,1,215.43,590.02,,,,,,,,,,,,,,,,,
perro chihuahua precio,COP,500,0%,0%,Bajo,20,192.04,354.25,,,,,,,,,,,,,,,,,
yorkshire toy,COP,50,0%,0%,Bajo,8,250.96,829.51,,,,,,,,,,,,,,,,,
bulldog precio,COP,500,0%,0%,Bajo,17,180.50,496.44,,,,,,,,,,,,,,,,,
perritos chiquitos peludos,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
comida salvadoreña,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
empanadas fritas,COP,500,0%,0%,Bajo,1,,,,,,,,,,,,,,,,,,,
galgocal 600,COP,5000,0%,0%,Bajo,16,346.05,1494.85,,,,,,,,,,,,,,,,,
cachorros beagle,COP,500,0%,0%,Bajo,17,202.01,402.71,,,,,,,,,,,,,,,,,
cuello isabelino,COP,500,0%,0%,Alto,86,155.11,863.07,,,,,,,,,,,,,,,,,
perros cachorros,COP,5000,0%,0%,Bajo,3,218.16,489.09,,,,,,,,,,,,,,,,,
cachorros pitbull,COP,500,0%,0%,Bajo,5,212.51,398.88,,,,,,,,,,,,,,,,,
comidas con carne picada,COP,50,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
mini pomerania,COP,5000,0%,0%,Bajo,3,182.43,349.19,,,,,,,,,,,,,,,,,
perros chiguagua,COP,50000,0%,0%,Bajo,1,199.13,469.81,,,,,,,,,,,,,,,,,
cachorros husky,COP,500,0%,0%,Bajo,14,188.13,454.29,,,,,,,,,,,,,,,,,
perritos bebes,COP,5000,0%,0%,Bajo,1,242.55,1333.89,,,,,,,,,,,,,,,,,
cachorros schnauzer,COP,500,0%,0%,Bajo,15,232.33,529.74,,,,,,,,,,,,,,,,,
comidas con carne,COP,500,0%,0%,Bajo,2,271.45,2625.20,,,,,,,,,,,,,,,,,
mondongos,COP,50000,0%,0%,Bajo,1,232.67,2210.38,,,,,,,,,,,,,,,,,
peluditos,COP,500,0%,0%,Bajo,2,1077.19,3238.93,,,,,,,,,,,,,,,,,
collie border,COP,500,0%,0%,Bajo,1,284.64,1588.60,,,,,,,,,,,,,,,,,
boxer americano,COP,500,0%,0%,Bajo,8,,,,,,,,,,,,,,,,,,,
perros toy,COP,500,0%,0%,Bajo,2,212.61,1333.89,,,,,,,,,,,,,,,,,
perro dalmata,COP,5000,0%,0%,Bajo,3,224.55,488.19,,,,,,,,,,,,,,,,,
cachorros pug,COP,500,0%,0%,Bajo,8,204.25,455.89,,,,,,,,,,,,,,,,,
alimentos buenos para el higado,COP,500,0%,0%,Bajo,1,271.45,891.91,,,,,,,,,,,,,,,,,
masa de tacos,COP,50,0%,0%,Alto,69,,,,,,,,,,,,,,,,,,,
galgocal,COP,5000,0%,0%,Medio,36,271.45,1357.25,,,,,,,,,,,,,,,,,
mejores razas de perros,COP,500,0%,0%,Bajo,1,,,,,,,,,,,,,,,,,,,
perro pastor belga,COP,5000,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
comida turca,COP,5000,-90%,-90%,Bajo,0,,,,,,,,,,,,,,,,,,,
golden perro,COP,50000,0%,0%,Bajo,1,217.61,832.38,,,,,,,,,,,,,,,,,
perro miniatura blanco,COP,5000,0%,-90%,Bajo,1,226.15,466.93,,,,,,,,,,,,,,,,,
labrador perro,COP,5000,0%,-90%,Bajo,1,225.50,853.13,,,,,,,,,,,,,,,,,
pitbull blue precio,COP,500,0%,0%,Bajo,14,225.75,390.12,,,,,,,,,,,,,,,,,
perro puppy,COP,500,0%,0%,Bajo,2,183.15,540.79,,,,,,,,,,,,,,,,,
pastor collie,COP,50000,0%,0%,Bajo,0,293.41,2044.86,,,,,,,,,,,,,,,,,
pastor ingles,COP,5000,0%,0%,Bajo,0,224.85,1356.53,,,,,,,,,,,,,,,,,
chicharrón prensado,COP,500,0%,0%,Bajo,1,,,,,,,,,,,,,,,,,,,
perro caniche,COP,5000,0%,0%,Bajo,1,231.57,676.47,,,,,,,,,,,,,,,,,
tusivet,COP,5000,0%,0%,Bajo,10,149.89,2014.33,,,,,,,,,,,,,,,,,
perro lobo checoslovaco,COP,5000,0%,0%,Bajo,0,275.72,1343.56,,,,,,,,,,,,,,,,,
perro terrier,COP,5000,0%,0%,Bajo,1,,,,,,,,,,,,,,,,,,,
pitbull americano,COP,5000,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
cachorros doberman,COP,500,0%,0%,Bajo,16,165.40,356.61,,,,,,,,,,,,,,,,,
masa de empanadas fritas,COP,50,0%,0%,Bajo,1,,,,,,,,,,,,,,,,,,,
tacos vegetarianos,COP,500,0%,0%,Bajo,1,,,,,,,,,,,,,,,,,,,
pastor ingles precio,COP,500,0%,0%,Bajo,6,204.25,335.59,,,,,,,,,,,,,,,,,
perro chau chau,COP,5000,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
mi perro vomita espuma,COP,50,0%,0%,Bajo,2,,,,,,,,,,,,,,,,,,,
perro shar pei,COP,5000,0%,0%,Bajo,1,,,,,,,,,,,,,,,,,,,
perros french poodle,COP,5000,0%,0%,Bajo,1,186.18,528.22,,,,,,,,,,,,,,,,,
golden collie,COP,5000,900%,900%,Bajo,0,343.88,1949.60,,,,,,,,,,,,,,,,,
paella de carne,COP,500,0%,0%,Bajo,2,405.52,1938.93,,,,,,,,,,,,,,,,,
perro samoyedo,COP,5000,0%,0%,Bajo,1,847.71,1353.89,,,,,,,,,,,,,,,,,
perro chow chow,COP,5000,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
golden terrier,COP,500,0%,0%,Bajo,1,237.85,1559.69,,,,,,,,,,,,,,,,,
salsa para tacos,COP,500,0%,0%,Bajo,29,,,,,,,,,,,,,,,,,,,
mi perro vomita espuma blanca,COP,500,0%,0%,Bajo,1,63.85,311.70,,,,,,,,,,,,,,,,,
torta frita,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
asadito,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
shar pei precio,COP,500,0%,0%,Bajo,6,211.52,414.31,,,,,,,,,,,,,,,,,
pomerania miniatura,COP,500,0%,0%,Bajo,12,196.13,335.05,,,,,,,,,,,,,,,,,
mini maltes,COP,50,0%,0%,Bajo,1,,,,,,,,,,,,,,,,,,,
raza de perro shih tzu,COP,5000,0%,0%,Bajo,0,184.49,386.09,,,,,,,,,,,,,,,,,
perritos tiernos,COP,5000,0%,0%,Bajo,1,,,,,,,,,,,,,,,,,,,
gran danés,COP,50000,0%,0%,Bajo,0,211.47,1381.21,,,,,,,,,,,,,,,,,
pan de sandwich,COP,500,0%,0%,Bajo,25,,,,,,,,,,,,,,,,,,,
razas de perros miniatura,COP,5000,0%,0%,Bajo,2,149.89,299.40,,,,,,,,,,,,,,,,,
razas de perros chiquitos,COP,500,0%,0%,Bajo,2,139.39,356.71,,,,,,,,,,,,,,,,,
comida de halloween,COP,500,0%,0%,Bajo,1,,,,,,,,,,,,,,,,,,,
artrin perros,COP,50,-90%,0%,Alto,79,426.57,1622.41,,,,,,,,,,,,,,,,,
pequines,COP,5000,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
sandwich de atun,COP,5000,0%,0%,Bajo,1,439.50,1592.96,,,,,,,,,,,,,,,,,
perros terrier,COP,5000,0%,0%,Bajo,1,,,,,,,,,,,,,,,,,,,
perro lobo siberiano,COP,5000,0%,0%,Bajo,0,139.39,398.86,,,,,,,,,,,,,,,,,
perro schnauzer precio,COP,500,0%,0%,Bajo,5,212.43,388.50,,,,,,,,,,,,,,,,,
bulldog ingles cachorro,COP,500,0%,0%,Bajo,2,216.78,516.04,,,,,,,,,,,,,,,,,
empanadas criollas,COP,50,0%,0%,Bajo,1,,,,,,,,,,,,,,,,,,,
perro rottweiler precio,COP,500,0%,0%,Bajo,11,147.01,335.35,,,,,,,,,,,,,,,,,
perro bichon maltes,COP,500,0%,0%,Bajo,2,207.25,785.93,,,,,,,,,,,,,,,,,
mi cachorro no quiere comer,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perro pincher,COP,50000,0%,-90%,Bajo,1,202.95,373.99,,,,,,,,,,,,,,,,,
bichon maltes americano,COP,50,0%,0%,Bajo,2,,,,,,,,,,,,,,,,,,,
garrapatas en gatos,COP,500,0%,0%,Bajo,23,,,,,,,,,,,,,,,,,,,
caniche micro toy,COP,50,0%,0%,Bajo,4,296.89,485.65,,,,,,,,,,,,,,,,,
perro bulldog francés,COP,5000,0%,0%,Bajo,3,246.66,811.92,,,,,,,,,,,,,,,,,
pomerania cachorro,COP,500,0%,0%,Bajo,2,227.39,596.64,,,,,,,,,,,,,,,,,
perros de agua,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
razas pequeñas,COP,500,0%,0%,Bajo,3,190.09,324.61,,,,,,,,,,,,,,,,,
perros peludos pequeños,COP,5000,0%,0%,Bajo,0,133.56,1344.04,,,,,,,,,,,,,,,,,
perro jasqui,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
doberman cachorro,COP,5000,0%,0%,Bajo,1,201.26,448.50,,,,,,,,,,,,,,,,,
perro san bernardo,COP,5000,0%,0%,Bajo,0,213.04,775.94,,,,,,,,,,,,,,,,,
empanadas chilenas,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
raza beagle,COP,5000,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
bull terrier ingles,COP,500,0%,0%,Bajo,1,,,,,,,,,,,,,,,,,,,
tacos rojos,COP,50,0%,0%,Bajo,6,,,,,,,,,,,,,,,,,,,
chicharrón,COP,50000,0%,0%,Bajo,9,563.43,2365.50,,,,,,,,,,,,,,,,,
perro schnauzer mini,COP,500,0%,900%,Bajo,2,237.85,1116.43,,,,,,,,,,,,,,,,,
mini toy perro,COP,5000,0%,0%,Bajo,2,214.13,389.30,,,,,,,,,,,,,,,,,
perro bichon,COP,500,0%,0%,Bajo,2,,,,,,,,,,,,,,,,,,,
comida casera para perra recién parida,COP,500,0%,0%,Bajo,1,426.07,1047.02,,,,,,,,,,,,,,,,,
husky siberiano miniatura,COP,5000,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
gran danes perro,COP,5000,0%,0%,Bajo,0,206.84,511.56,,,,,,,,,,,,,,,,,
schnauzer perro,COP,5000,0%,0%,Bajo,1,253.00,1316.76,,,,,,,,,,,,,,,,,
jack russell precio,COP,500,0%,-90%,Bajo,17,197.31,374.02,,,,,,,,,,,,,,,,,
raza pug,COP,5000,0%,0%,Bajo,1,,,,,,,,,,,,,,,,,,,
perro frances,COP,5000,0%,0%,Bajo,0,247.61,564.69,,,,,,,,,,,,,,,,,
perro japones,COP,5000,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
viejo pastor ingles precio,COP,50,0%,0%,Bajo,6,232.75,500.70,,,,,,,,,,,,,,,,,
perro belga,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
pitbull precio,COP,500,0%,0%,Bajo,13,212.07,364.75,,,,,,,,,,,,,,,,,
schnauzer mediano,COP,5000,0%,900%,Bajo,1,219.81,1334.03,,,,,,,,,,,,,,,,,
total full,COP,500,0%,0%,Alto,100,204.60,2848.47,,,,,,,,,,,,,,,,,
husky blanco,COP,5000,0%,0%,Bajo,0,240.56,569.38,,,,,,,,,,,,,,,,,
beagle comida,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
chiguaguas,COP,5000,0%,0%,Bajo,0,189.29,470.50,,,,,,,,,,,,,,,,,
comida de mar,COP,5000,0%,0%,Bajo,2,522.06,1464.22,,,,,,,,,,,,,,,,,
perro jack russell,COP,5000,900%,0%,Bajo,3,192.58,307.62,,,,,,,,,,,,,,,,,
bull terrier miniatura,COP,500,0%,0%,Bajo,1,,,,,,,,,,,,,,,,,,,
perro vomita amarillo,COP,5000,0%,0%,Bajo,1,73.99,155.52,,,,,,,,,,,,,,,,,
cachorros boxer,COP,50,0%,0%,Bajo,15,182.71,455.45,,,,,,,,,,,,,,,,,
perro raza shih tzu,COP,5000,0%,0%,Bajo,1,221.01,1343.56,,,,,,,,,,,,,,,,,
mascara de perro,COP,500,-90%,0%,Bajo,21,,,,,,,,,,,,,,,,,,,
bulldog frances exotico,COP,5000,0%,0%,Bajo,1,166.69,540.06,,,,,,,,,,,,,,,,,
perros jugando poker,COP,500,0%,0%,Bajo,9,,,,,,,,,,,,,,,,,,,
perros chisus,COP,5000,0%,0%,Bajo,0,170.76,1333.93,,,,,,,,,,,,,,,,,
perro american bully,COP,5000,0%,0%,Bajo,0,294.99,1324.37,,,,,,,,,,,,,,,,,
pastor blanco suizo,COP,5000,0%,-90%,Bajo,0,,,,,,,,,,,,,,,,,,,
perros shar pei,COP,5000,0%,0%,Bajo,1,,,,,,,,,,,,,,,,,,,
perro french,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perro malinois,COP,500,0%,0%,Bajo,1,255.45,668.74,,,,,,,,,,,,,,,,,
raza de perro pomerania,COP,5000,0%,0%,Bajo,1,230.69,386.46,,,,,,,,,,,,,,,,,
comida casera para perra en lactancia,COP,500,0%,0%,Bajo,5,349.01,510.44,,,,,,,,,,,,,,,,,
choripanes,COP,5000,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
adiestramiento,COP,5000,0%,0%,Bajo,1,337.30,857.83,,,,,,,,,,,,,,,,,
tacos arabes,COP,50,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
de comida,COP,500,0%,0%,Bajo,2,,,,,,,,,,,,,,,,,,,
schnauzer blanco,COP,5000,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
terrier perro,COP,5000,0%,0%,Bajo,1,,,,,,,,,,,,,,,,,,,
perros chitzu,COP,500,0%,-90%,Bajo,2,213.18,377.51,,,,,,,,,,,,,,,,,
pitbull blue cachorro,COP,500,0%,0%,Bajo,2,208.44,418.57,,,,,,,,,,,,,,,,,
bully perro,COP,5000,0%,0%,Bajo,0,231.75,736.79,,,,,,,,,,,,,,,,,
perro australiano,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
caniche mediano,COP,500,0%,0%,Bajo,1,,,,,,,,,,,,,,,,,,,
perro lobo mexicano,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
de perros,COP,500,0%,0%,Bajo,1,,,,,,,,,,,,,,,,,,,
domador de perros,COP,500,0%,0%,Bajo,2,318.53,946.47,,,,,,,,,,,,,,,,,
perros de bolsillo,COP,500,0%,0%,Bajo,2,214.09,495.37,,,,,,,,,,,,,,,,,
razas de perros chicos,COP,50,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
viejo pastor ingles,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perro san bernardo precio,COP,500,0%,0%,Bajo,9,192.08,396.46,,,,,,,,,,,,,,,,,
desayuno americano,COP,5000,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perros enanos,COP,500,0%,0%,Bajo,1,,,,,,,,,,,,,,,,,,,
artrin plus,COP,50,900%,900%,Bajo,19,,,,,,,,,,,,,,,,,,,
pastor aleman belga,COP,5000,0%,0%,Bajo,0,158.14,303.45,,,,,,,,,,,,,,,,,
perros golden bebes,COP,5000,0%,0%,Bajo,3,230.41,540.16,,,,,,,,,,,,,,,,,
san bernardo perro,COP,5000,0%,0%,Bajo,0,195.43,1117.43,,,,,,,,,,,,,,,,,
cachorritos,COP,500,0%,0%,Bajo,2,202.80,371.50,,,,,,,,,,,,,,,,,
razas de perros pequeños y medianos,COP,500,0%,0%,Bajo,2,165.27,714.25,,,,,,,,,,,,,,,,,
ensaladas frias,COP,5000,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
schnauzer cachorro,COP,500,0%,0%,Bajo,2,243.85,747.09,,,,,,,,,,,,,,,,,
perros finos,COP,5000,0%,0%,Bajo,0,209.83,888.90,,,,,,,,,,,,,,,,,
pastor belga cachorro,COP,5000,0%,0%,Bajo,1,188.13,324.61,,,,,,,,,,,,,,,,,
perro pastor australiano,COP,5000,900%,900%,Bajo,0,233.72,285.50,,,,,,,,,,,,,,,,,
cocker americano,COP,5000,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
chihuahua de pelo largo,COP,500,0%,0%,Bajo,1,170.54,311.72,,,,,,,,,,,,,,,,,
pitbull perro,COP,5000,900%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perro bulldog ingles,COP,500,0%,0%,Bajo,1,218.25,514.06,,,,,,,,,,,,,,,,,
labrador blanco,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
raza maltes,COP,500,0%,-90%,Bajo,0,,,,,,,,,,,,,,,,,,,
samoyedo cachorro,COP,5000,0%,0%,Bajo,2,368.65,1273.44,,,,,,,,,,,,,,,,,
pastor siberiano,COP,500,0%,0%,Bajo,1,,,,,,,,,,,,,,,,,,,
chiguagua mini,COP,500,0%,0%,Bajo,8,184.56,316.81,,,,,,,,,,,,,,,,,
comidas criollas,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
